ID,Work Item Type,Title,Assigned To,State,Area Path,Tags,Comment Count,Description
"92","User Story","02 - WVD Deployment Guidance",,"New","WVD Guidance",,"0","02 - WVD Deployment Guidance"
"91","User Story","01 - WVD Architecture Guidance",,"New","WVD Guidance",,"0","01 - WVD Architecture Guidance"
"90","Task","23 - GPO Suggestions",,"New","WVD Guidance",,"0","<div><span><b>Computer Configuration &gt; Policies &gt; Administrative Templates &gt; Windows Components &gt; Remote Desktop Services &gt; Remote Desktop Session Host &gt; Session Time Limits:</b><br></span><div><br> </div><div><ul><li>Set time limit for active but idle Remote Desktop Services sessions: <b>Enabled </b>(e.g., 6 hours) </li><li>Set time limit for disconnected sessions: <b>Enabled </b>(e.g., 8 hours) </li><li>Set time limit for logoff of RemoteApp sessions: <b>Enabled </b>(e.g., 6 hours) </li> </ul> </div><div><br> </div><div><span style=""""><b>User Configuration &gt; Policies &gt; Administrative Templates &gt; Control Panel &gt; Personalization:</b></span><br> </div><div><br> </div><div><ul><li>Force specific screen saver: <b>Enabled</b>&nbsp;(e.g., %winDir%\System32\ssText3d.scr) </li><li><span style="""">Password protect the screen saver: <b>Enabled</b></span> </li><li>Prevent changing screen saver: <b>Enabled</b> </li><li>Screen saver timeout: <b>Enabled </b>(e.g.,&nbsp;80s) </li> </ul> </div> </div>"
"87","Task","20 - WVD Security",,"New","WVD Guidance",,"0","<span style="""">Enabling MFA to WVD:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/set-up-mfa"" style="""">https://docs.microsoft.com/en-us/azure/virtual-desktop/set-up-mfa</a><div><span style=""font-size:10.5pt;background-image:initial;background-position:initial;background-size:initial;background-repeat:initial;background-attachment:initial;background-origin:initial;background-clip:initial;"">Azure Academy - Session Host Security:&nbsp;<a href=""https://www.youtube.com/watch?v=5aK6BoXcZnU&amp;t=328s"">https://www.youtube.com/watch?v=5aK6BoXcZnU&amp;t=328s</a><br></span><div><span style="""">Security Best practices for
     WVD:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/security-guide"" style="""">https://docs.microsoft.com/en-us/azure/virtual-desktop/security-guide</a><br><span style="""">Safe URL List:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/safe-url-list"" style="""">https://docs.microsoft.com/en-us/azure/virtual-desktop/safe-url-list</a><br><span style="""">Use
Azure Firewall to protect WVD:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/azure/firewall/protect-windows-virtual-desktop"" style="""">https://docs.microsoft.com/en-us/azure/firewall/protect-windows-virtual-desktop</a><br> </div> </div>"
"86","Task","19 - Setup the WVD Scaling Tool",,"New","WVD Guidance",,"0","<div>Azure Automation:&nbsp;<a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/set-up-scaling-script"">https://docs.microsoft.com/en-us/azure/virtual-desktop/set-up-scaling-script</a><br> </div><div>Azure Academy - Scaling Automation:&nbsp;<a href=""https://www.youtube.com/watch?v=4zDazJsa2Zk&amp;t=604s"">https://www.youtube.com/watch?v=4zDazJsa2Zk&amp;t=604s</a> </div><div><br> </div>"
"85","Task","18 - Setup Monitoring for WVD",,"New","WVD Guidance",,"0","<div>Azure
Log Analytics and Azure Monitor:&nbsp;<a href=""https://techcommunity.microsoft.com/t5/windows-it-pro-blog/proactively-monitor-arm-based-windows-virtual-desktop-with-azure/ba-p/1508735"">https://techcommunity.microsoft.com/t5/windows-it-pro-blog/proactively-monitor-arm-based-windows-virtual-desktop-with-azure/ba-p/1508735</a><br> </div><div>Sepago
Solution:&nbsp;<a href=""https://github.com/MarcelMeurer/LogAnalytics-for-Citrix-and-RDS"">https://github.com/MarcelMeurer/LogAnalytics-for-Citrix-and-RDS</a><br> </div><div>Azure Academy - Monitoring Workbook:&nbsp;<a href=""https://www.youtube.com/watch?v=ERftVHEy5A4"">https://www.youtube.com/watch?v=ERftVHEy5A4</a> </div>"
"83","Task","16 - Connect WVD with clients",,"New","WVD Guidance",,"0","<span style="""">Windows Desktop Client:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/connect-windows-7-10"" style="""">https://docs.microsoft.com/en-us/azure/virtual-desktop/connect-windows-7-10</a><br><span style="""">HTML5 Web Client:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/connect-web"" style="""">https://docs.microsoft.com/en-us/azure/virtual-desktop/connect-web</a><br><span style="""">Android Client:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/connect-android"" style="""">https://docs.microsoft.com/en-us/azure/virtual-desktop/connect-android</a><br><span style="""">macOS Client:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/connect-macos"" style="""">https://docs.microsoft.com/en-us/azure/virtual-desktop/connect-macos</a><br><span style="""">iOS Client:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/connect-ios"" style="""">https://docs.microsoft.com/en-us/azure/virtual-desktop/connect-ios</a><br><br>"
"82","Task","15 - Configure host pool settings",,"New","WVD Guidance",,"0","<span style="""">RDP Properties:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/customize-rdp-properties"" style="""">https://docs.microsoft.com/en-us/azure/virtual-desktop/customize-rdp-properties</a><br><span style="""">Configure device redirections
     (Mic, Speaker, Camera, Printer, Clipboard, USB, Local Drive, Plug and Play
     Devices):&nbsp;</span><a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/configure-device-redirections"" style="""">https://docs.microsoft.com/en-us/azure/virtual-desktop/configure-device-redirections</a><br><span style="""">Host pool load-balancing methods:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/host-pool-load-balancing"" style="""">https://docs.microsoft.com/en-us/azure/virtual-desktop/host-pool-load-balancing</a><br><div>Configure the Windows Virtual Desktop load-balancing method: <a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/configure-host-pool-load-balancing"" style="""">https://docs.microsoft.com/en-us/azure/virtual-desktop/configure-host-pool-load-balancing</a><br> </div><span style="""">Personal desktop assignment
     type:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/configure-host-pool-personal-desktop-assignment-type"" style="""">https://docs.microsoft.com/en-us/azure/virtual-desktop/configure-host-pool-personal-desktop-assignment-type</a><br><br><br>"
"81","Task","14 - Create a Host Pool for Pooled Remote Apps",,"New","WVD Guidance",,"0","<div>Publish built-in apps in Windows Virtual Desktop: <a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/publish-apps"">https://docs.microsoft.com/en-us/azure/virtual-desktop/publish-apps</a><br> </div><div>Manage app groups with the Azure portal:&nbsp;<a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/manage-app-groups"">https://docs.microsoft.com/en-us/azure/virtual-desktop/manage-app-groups</a><br> </div>"
"80","Task","13 - Create a Host Pool for Pooled of Personal Desktops:",,"New","WVD Guidance",,"0","<span style="""">Create a Host Pool for Pooled
     of Personal Desktops:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/create-host-pools-azure-marketplace"" style="""">https://docs.microsoft.com/en-us/azure/virtual-desktop/create-host-pools-azure-marketplace</a><span style=""""><br></span><br>"
"79","Task","12 - Using MSIX app attach ",,"New","WVD Guidance",,"0","<span style="""">What is MSIX app attach:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/what-is-app-attach"" style="""">https://docs.microsoft.com/en-us/azure/virtual-desktop/what-is-app-attach<br></a><span style="""">Set up MSIX app attach:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/app-attach"" style="""">https://docs.microsoft.com/en-us/azure/virtual-desktop/app-attach<br></a><span style="""">MSIX app attach FAQ:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/app-attach-faq"" style="""">https://docs.microsoft.com/en-us/azure/virtual-desktop/app-attach-faq</a><span style=""""><br></span><br>"
